Problem Name, Problem Text, Topic Name, Difficulty
Chances of Non-Decreasing Sequence, "",  Probability,  Medium
N points on a circle, "Imagine you are drawing
7 random points on the edge of a circular cake. What is the chance that all of these points will be located within a half of the cake?",  Probability,  Medium
Coin toss game, "Two gamblers are playing a coin toss game. Gambler
A has
(n+1) fair coins;
B has
n fair coins. What is the probability that
A will have more heads than
B if both flip all their coins?",  Probability,  Medium
Random ants, "500 ants are placed on a
1-foot string without any order. Assume independent uniform distribution for each ant. Each ant will move randomly towards either end of the string at a constant speed of
1 foot per minute. The ants will keep moving until they reach the end of the string, and if two ants collide head-on, they will both immediately turn around and continue moving. Assuming that the size of the ants is infinitely small, what is the expected time for all
500 ants to fall off the string?",  Expected Value,  Medium
Expected Turns To Find a Taller Guy, "Choose a person randomly on the street
X. Let
N denote the random variable representing the number of people that you select randomly from the street before you find someone who's taller than
X. What is
E[N]",  Expected Value,  Hard
Coins on Chessboard, "You are given a chessboard with 8x8 dimensions. Your friend Tim asks you how many ways there are to place coins on the chessboard such that there are even number of coins in each row and in each column. Can you find it out?",  Combinatorics,  Medium
Same or Higher, "Anton rolls a fair die and records the value he rolls. Afterwards, he continues rolling the die until he obtains a value at least as large as the first roll. Let N be the number of rolls after the first he performs. Find E[N].",  Expected Value,  Medium
Sum of random variables, "You are given
6 random variables,
X
1
,
X
2
, ... , and
X
6
. Each of these variables has a uniform distribution that ranges from
0 to
1. Your task is to determine the probability that the sum of these variables, denoted as
S, is less than equal to
1. Can you solve this problem?",  Probability,  Medium
Color Switches, "You are given an urn with
100 balls (
50 black and
50 white). You pick balls from urn one by one without replacements until all the balls are out. A black followed by a white or a white followed by a black is "a colour change". The expected number of colour changes if the balls are being picked randomly from the urn.",  Expected Value,  Medium
Roll Die till Sequence, "On average, how many times must a 6-sided die be rolled until the sequence of
6
5 (i.e. a
6 followed by a
5) appears?",  Expected Value,  Medium
Expected number of subtree removals, "You are given a rooted tree with
n nodes. On each step, you randomly choose a node and remove the subtree rooted by that node and the node itself; until all of them have been removed (that is, the root has been chosen). Find the expected number of steps in this process. Compute for a complete binary tree with 7 nodes.",  Expected Value,  Medium
Big Mac, "",  ,  Easy
Wedding Handshakes, "",  ,  Easy
Life Is A Raceway, "Lightning McQueen goes for a race. He places 14 places ahead of last place and 6 places below the upper half of competitors. What place was Lightning McQueen in?",  Number Theory,  Easy
The Blind Archer, "A very sharp, consistently skillful blind archer aimed for the center of a circular board and shot 2 arrows. He is expected to hit the aim, but doesn't hit it for sure. The archer is told that his first shot is better than second. He tried one more shot. What is the probability that this 3rd shot is the best shot among 3? (ie, Probability that 3rd arrow lands closer to center than his first two shots?)",  Probability,  Medium
Sum of n-Die Rolls, "A fair,
n-sided die is rolled until a roll of
k or greater appears. All rolls are summed. What is the expected value of the sum? Compute for
n=6 and
k=3",  Expected Value,  Medium
Defective ball, "You have
12 identical balls. One of the balls is heavier or lighter than the rest (you don't know which). Using just a balance that can only show you which side of the tray is heavier, can you determine which ball is the defective one with
3 measurements?",  Puzzles,  Medium
Coupon collection, "There are
N distinct types of coupons in cereal boxes and each type, independent of prior selections, is equally likely to be in a box. If a child wants to collect a complete set of coupons with at least one of each type, how many coupons (boxes) on average are needed to make such a complete set?",  Expected Value,  Medium
Father of lies, "A father claims about snowfall last night. First daughter tells that the probability of snowfall on a particular night is
8
1
. Second daughter tells that
5 out of
6 times the father is lying! What is the probability that there actually was a snowfall?",  Probability,  Easy
Coin Sequence, "Assume you are flipping a fair coin repeatedly. How many times on average do you need to flip it to get
5 heads in a row?",  Expected Value,  Medium
Application letters, "Imagine that you are applying for jobs at
5 well-known financial firms: Morgan Stanley, Lehman Brothers, UBS, Goldman Sachs, and Merrill Lynch. You have carefully typed out personalised cover letters for each firm and placed them in
5 envelopes, each labeled with the appropriate address. However, your
3-year-old nephew thought he was helping by randomly stuffing the letters into the envelopes, without realizing that each letter was meant for a specific firm. As a result, there is a chance that all
5 letters will be sent to the wrong firms.",  Probability,  Easy
Random point on disk, "x &
y are two random points selected uniformly between
0 &
1. Using them, is it possible to create a point uniformly random in circle of radius
1 ?",  Probability,  Medium
Dead Men Walking, "Assume
100 zombies are walking on a straight line, all moving with the same speed. Some are moving towards left, and some towards right. If a collision occurs between two zombies, they both reverse their direction. Initially all zombies are standing at 1 unit intervals. For every zombie, you can see whether it moves left or right, is it possible to predict the number of collisions?",  Puzzles,  Easy
Chances of Non-Decreasing Sequence, "Suppose we roll a fair die
10 times. What is the probability that the sequence of rolls is non-decreasing (i.e., the next roll is never less than the current roll)?",  Probability,  Medium
N points on a circle, "Imagine you are drawing
7 random points on the edge of a circular cake. What is the chance that all of these points will be located within a half of the cake?",  Probability,  Medium
Coin toss game, "Two gamblers are playing a coin toss game. Gambler
A has
(n+1) fair coins;
B has
n fair coins. What is the probability that
A will have more heads than
B if both flip all their coins?",  Probability,  Medium
Random ants, "500 ants are placed on a
1-foot string without any order. Assume independent uniform distribution for each ant. Each ant will move randomly towards either end of the string at a constant speed of
1 foot per minute. The ants will keep moving until they reach the end of the string, and if two ants collide head-on, they will both immediately turn around and continue moving. Assuming that the size of the ants is infinitely small, what is the expected time for all
500 ants to fall off the string?",  Expected Value,  Medium
Expected Turns To Find a Taller Guy, "Choose a person randomly on the street
X. Let
N denote the random variable representing the number of people that you select randomly from the street before you find someone who's taller than
X. What is
E[N]",  ,  Medium
Aces, "In a game,
52 cards are randomly distributed among
4 players, with each player receiving
13 cards. What is the likelihood that each player will receive an ace?",  Probability,  Medium
Amoeba population, "A small pond has a single amoeba living inside it. This particular amoeba has a unique ability, where every minute it can either die, stay alive, split into two, or split into three, each with an equal probability. The offspring produced by this amoeba will also have the same behavior, and will act independently of other amoebas. What is the likelihood that this amoeba population will eventually die out?",  Probability,  Medium
Expected value of max and min, "Let
X
1
,X
2
,...,X
n
, be IID random variables with uniform distribution between
0 and
1.",  Expected Value,  Medium
Hopping Rabbit, "Imagine a small rabbit sitting at the bottom of a staircase with 10 stairs, some of which are higher than others. The rabbit can jump up one or two stairs at a time, but not more. Can you calculate the total number of unique ways this little creature could maneuver and make it all the way to the top of the stairs?",  Discrete Maths,  Easy
Catching Ants, "There are
51 ants sitting on top of a square table with side length of
1. If you have a square card with side
5
1
, can you put your card at a position on the table to guarantee that the card encompasses at least
3 ants?",  Puzzles,  Easy
Card game, "Imagine you are in a casino playing a card game. The game uses a standard deck of 52 cards and you turn over two cards at a time. If both cards are black, they go to the dealer's pile, if both are red, they go to your pile, and if one is black and one is red, they are discarded. This process continues until all 52 cards have been turned over. If you have more cards in your pile, you win
100 dollars, but if the dealer has more or if there is a tie, you receive nothing. The casino is letting you choose how much money you want to pay to play this game. What is the maximum amount you would be willing to pay?",  Puzzles,  Easy
Pattern on Snowflakes, "Snow-particles are falling on the ground one after another. A particular snowflake turns out to be of type "Stellar Dendrite" with probability '
p' if its previous particle was also Stellar Dendrite, and with probability '
q' if previous one was something else. If a snowflake is picked from ground, what is the probability that it is Stellar Dendrite? Calculate for p=1/2 & q=1/3",  Probability,  Medium
Birthday problem, "How many people do you need in a room to ensure a greater than
50% chance that two of them share the same birthday?",  Probability,  Easy
